Scopus refine results values

"Your query : (TITLE-ABS-KEY(""tremor suppression"" OR ""suppression of tremor"" OR ""tremor compensation"" OR ""compensation of tremor"") AND ( LIMIT-TO ( DOCTYPE,""re"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) ) )"


Number of results : 25

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,"Maetzler, W.","1",,,,,,,,,"Hand Tremors","2","Charité – Universitätsmedizin Berlin","1",,,,,,,,
,,,,"Martinez-Nunez, A.E.","1",,,,,,,,,"Holmes Tremor","2","Qazvin University of Medical Sciences","1",,,,,,,,
,,,,"Marvast, S.M.H.","1",,,,,,,,,"Limb Tremor","2","Virginia Polytechnic Institute and State University","1",,,,,,,,
,,,,"Maytharakcheep, S.","1",,,,,,,,,"Man Machine Interaction","2","Universidad Complutense de Madrid","1",,,,,,,,
,,,,"Meng, F.","1",,,,,,,,,"Medical Devices","2","Tehran University of Medical Sciences","1",,,,,,,,
,,,,"Meng, L.","1",,,,,,,,,"Meta Analysis","2","Carnegie Mellon University","1",,,,,,,,
,,,,"Ming, D.","1",,,,,,,,,"Motor Performance","2","Universidad Politécnica de Madrid","1",,,,,,,,
,,,,"Mo, J.","1",,,,,,,,,"Nerve Stimulation","2","Ludwig-Maximilians-Universität München","1",,,,,,,,
,,,,"Moafi, M.","1",,,,,,,,,"Neuroimaging","2","Massachusetts General Hospital","1",,,,,,,,
,,,,"Mohammadi, M.","1",,,,,,,,,"Orthosis","2","University of California, San Diego","1",,,,,,,,
,,,,"Mohammed, S.L.","1",,,,,,,,,"Parkinsonism","2","Freie Universität Berlin","1",,,,,,,,
,,,,"Morigaki, R.","1",,,,,,,,,"Pathological Tremor","2","University of Wisconsin-Madison","1",,,,,,,,
,,,,"Muthukrishnan, N.K.","1",,,,,,,,,"Physiology","2","Technische Universiteit Eindhoven","1",,,,,,,,
,,,,"Muthuraman, M.","1",,,,,,,,,"Postural Tremor","2","Beijing Tiantan Hospital, Capital Medical University","1",,,,,,,,
,,,,"Nakanishi, H.","1",,,,,,,,,"Practice Guideline","2","Zhejiang Chinese Medical University","1",,,,,,,,
,,,,"Neudorfer, C.","1",,,,,,,,,"Prevalence","2","Centro de Investigación Biomédica en Red de Enfermedades Neurodegenerativas","1",,,,,,,,
,,,,"Nguyen, H.S.","1",,,,,,,,,"Primidone","2","Zuyd Hogeschool","1",,,,,,,,
,,,,"Oda, T.","1",,,,,,,,,"Propranolol","2","Tokushima University Hospital","1",,,,,,,,
,,,,"Oveisi, S.","1",,,,,,,,,"Quality Of Life","2","Rajalakshmi Engineering College","1",,,,,,,,
,,,,"Panyakaew, P.","1",,,,,,,,,"Rigidity","2","Donders Institute for Brain, Cognition and Behaviour","1",,,,,,,,
,,,,"Paschen, S.","1",,,,,,,,,"Robotics","2","CSIC-UPM - Centro de Automatica y Robotica CAR","1",,,,,,,,
,,,,"Phumphid, S.","1",,,,,,,,,"Self Help Device","2","The Robotics Institute","1",,,,,,,,
